type,mode,amount,currentBalance,transactionTimestamp,valueDate,txnId,narration,reference
DEBIT,CARD,100.0,2180.8,2025-08-27T03:43:56+05:30,2025-08-27,6e80ee9f-49b5-434f-8ab6-f192a2296e6c,GAS FILLING STATION,Education
DEBIT,CARD,170.0,2010.8,2025-09-12T16:42:03+05:30,2025-09-12,a734aa85-4bf8-44c0-b508-305f554dc51e,GAS FILLING STATION,Subscriptions
DEBIT,CARD,500.0,1510.8,2025-09-12T19:05:22+05:30,2025-09-12,dc44e071-399f-4ec2-b6ec-64f9e8a05a8a,GAS FILLING STATION,Fuel
CREDIT,OTHERS,15.0,1525.8,2025-11-24T12:17:24+05:30,2025-11-24,0adc1ed0-4809-462d-855c-84cda5593c80,5188810,Bonus
DEBIT,ATM,1000.0,525.8,2025-05-06T21:53:03+05:30,2025-05-06,1a018d91-db8a-416d-b49f-d03a84bc5c7b,ATM,Subscriptions
DEBIT,UPI,1.0,524.8,2025-07-14T06:57:39+05:30,2025-07-14,33bd1687-6ab2-43c5-be5f-d150f412834c,UPI/3234,Subscriptions
CREDIT,UPI,3000.0,3524.8,2025-06-08T09:24:51+05:30,2025-06-08,b87c4941-ad5b-41b7-9cda-4956a05a042e,UPI/3234,Bonus
CREDIT,UPI,300.0,3824.8,2025-05-14T23:58:36+05:30,2025-05-14,8bba53c3-7a35-40d6-a38c-fc142c432455,UPI/32345,Income
DEBIT,UPI,1200.0,2624.8,2025-11-27T10:50:59+05:30,2025-11-27,fd9c35d1-b32c-40f2-9e3e-0ddfe1d24cad,UPI/3235,Subscriptions
CREDIT,UPI,400.0,3024.8,2025-08-06T13:04:31+05:30,2025-08-06,d2407a2c-15f3-46c2-b658-f9b66de3b6fd,UPI/ent,Bonus
CREDIT,UPI,500.0,3524.8,2025-03-21T20:00:43+05:30,2025-03-21,b347d492-3798-4af9-b684-b136ecc2163e,UPI/3236,Income
CREDIT,UPI,300.0,3824.8,2025-08-10T11:30:05+05:30,2025-08-10,2502b83f-52a0-459a-acc2-058856a6025f,UPI/3236,Transfer In
DEBIT,UPI,140.0,3684.8,2025-03-09T03:28:22+05:30,2025-03-09,ef7cdb44-66aa-4523-bafb-bc36528ffb08,UPI/3236,Fuel
CREDIT,UPI,400.0,4084.8,2025-05-14T18:13:02+05:30,2025-05-14,cb0dda74-4491-4005-9038-5d4d2d3d8f69,UPI/3236,Cashback
CREDIT,UPI,750.0,4834.8,2025-05-16T21:10:02+05:30,2025-05-16,504ea1a4-880a-4336-be91-722f93d03d76,UPI/3236,Income
DEBIT,UPI,80.0,4754.8,2025-06-13T10:22:12+05:30,2025-06-13,72b8aab6-5ec1-4204-9c6c-703251f82cae,UPI/BHARATPE6,Fuel
DEBIT,UPI,30.0,4724.8,2025-02-07T11:29:21+05:30,2025-02-07,ecc76954-7c8f-4fc0-9e51-6fa35a1b4cac,UPI/3236,Healthcare
DEBIT,UPI,2480.0,2244.8,2025-11-17T12:34:27+05:30,2025-11-17,d26c20ba-4ed1-4ea0-81b0-d864d6905ce6,UPI/3237,Healthcare
DEBIT,UPI,1450.0,794.8,2025-05-12T20:01:02+05:30,2025-05-12,4d14d160-484b-4f1d-822a-106f7e4d6cd0,UPI/32372,Fuel
DEBIT,UPI,120.0,674.8,2025-10-21T16:26:46+05:30,2025-10-21,2395c8a5-2d7b-45ff-8279-07160dc2b24f,UPI/BHARATPE,Bills
CREDIT,UPI,480.0,1154.8,2025-08-01T05:19:23+05:30,2025-08-01,60867cfd-705b-44ba-9183-9fd57069d79b,UPI/36035,Income
CREDIT,OTHERS,1.0,1155.8,2025-06-15T09:34:01+05:30,2025-06-15,9760f363-bad8-44f4-99cb-8d9c97dccc4c,IMPS,Salary
DEBIT,UPI,1.0,1154.8,2025-06-17T16:21:50+05:30,2025-06-17,b128ae36-e103-40fb-b402-dda22c0540a0,UPI/PAYTM,Travel
DEBIT,UPI,1.0,1153.8,2025-10-11T16:35:45+05:30,2025-10-11,b224b31a-93e8-4726-9853-e355c677a612,UPI/32375,Entertainment
CREDIT,UPI,21.0,1174.8,2025-11-25T13:51:12+05:30,2025-11-25,24f677df-0d22-4ee9-a72e-228f9898062b,UPI/32378/goog-payment,Cashback
CREDIT,OTHERS,1.0,1175.8,2025-01-29T19:09:03+05:30,2025-01-29,a25eeba0-6e08-45cb-9eb3-5583b6f9ec58,NEFT,Bonus
DEBIT,UPI,1000.0,175.8,2025-10-07T07:37:48+05:30,2025-10-07,71bdd916-a4ad-4d30-9a0f-796611e2724f,UPI/3237,Groceries
DEBIT,UPI,30.0,145.8,2025-01-04T07:42:45+05:30,2025-01-04,f36f9696-82f7-47b1-9290-75cd13d701ac,UPI/3603,Travel
CREDIT,OTHERS,51.0,196.8,2025-11-19T23:58:26+05:30,2025-11-19,c2ca6026-dd22-490f-8e8e-6bb1d033ec58,IMPS,Transfer In
DEBIT,UPI,1.0,195.8,2025-05-11T10:08:47+05:30,2025-05-11,dec347ca-1df8-4834-bf12-a7ec81d4faeb,UPI/BHARATPE,Groceries
CREDIT,UPI,500.0,695.8,2025-12-15T11:21:44+05:30,2025-12-15,676db4e7-86c0-42e5-87f7-991d729ebd66,UPI/3238,Refund
CREDIT,UPI,500.0,1195.8,2025-04-13T02:53:55+05:30,2025-04-13,ce354233-4a2f-499b-86f4-cc9ad4c0ccb7,UPI/32382,Income
CREDIT,UPI,700.0,1895.8,2025-05-05T17:32:45+05:30,2025-05-05,e47c0f6b-669c-4846-a4e1-a9c1abb74a49,UPI/32384,Income
DEBIT,UPI,60.0,1835.8,2025-10-06T17:32:10+05:30,2025-10-06,9da292b1-e6ff-4aec-ba17-1e9596be288d,UPI/BHARATPE,Subscriptions
DEBIT,UPI,20.0,1815.8,2025-02-28T09:24:36+05:30,2025-02-28,622a4877-d66b-4659-95f2-c834bc437044,UPI/BHARATPE,Travel
DEBIT,UPI,1.0,1814.8,2025-08-29T21:46:59+05:30,2025-08-29,7c0b0fd3-5719-4c8f-be35-9a1eb624c282,UPI/32394,Groceries
DEBIT,UPI,1499.0,315.8,2025-05-23T15:06:57+05:30,2025-05-23,016a5f57-2be1-4c57-a806-9076e198a71f,UPI/3239,Shopping
CREDIT,UPI,240.0,555.8,2025-12-14T21:51:23+05:30,2025-12-14,345f0d46-25ad-497a-85d7-9047543df60e,UPI/32390/,Cashback
CREDIT,OTHERS,850.0,1405.8,2025-05-05T23:27:50+05:30,2025-05-05,e1f0ba13-39fa-4fa9-bcb1-47aab5a5e746,IMPS,Income
DEBIT,UPI,10.0,1395.8,2025-05-26T01:37:27+05:30,2025-05-26,6de89130-04ff-44c2-8801-88fca93609a9,AMZN,Rent
DEBIT,UPI,1200.0,195.8,2025-10-03T02:53:03+05:30,2025-10-03,febe3439-44d2-4ab8-a972-cdb1f72e43aa,UPI/3241,Shopping
CREDIT,OTHERS,600.0,795.8,2025-01-31T18:16:39+05:30,2025-01-31,d2987357-92f2-4c9e-99a6-7692e931be22,IMPS,Bonus
DEBIT,UPI,100.0,695.8,2025-07-11T16:41:45+05:30,2025-07-11,c2aa2280-77b1-4f14-a157-de477ec6b924,UPI/3241,Healthcare
DEBIT,UPI,15.0,680.8,2025-07-10T16:50:08+05:30,2025-07-10,ad797524-235c-4edb-b939-47647c17558c,UPI/JIOINAPPDIRECT/,Education
CREDIT,OTHERS,600.0,1280.8,2025-02-03T05:59:55+05:30,2025-02-03,0494c9e3-ee71-4d31-b923-e723a1df44c3,IMPS,Bonus
CREDIT,OTHERS,170.0,1450.8,2025-08-09T15:30:11+05:30,2025-08-09,3fd5bdaf-a0ec-4108-8f31-b39d54ba740d,IMPS,Salary
CREDIT,OTHERS,350.0,1800.8,2025-04-08T18:04:45+05:30,2025-04-08,6ad58ee6-705a-4a71-8e43-c7ed1e88088f,NEFT,Transfer In
CREDIT,OTHERS,750.0,2550.8,2025-11-03T21:12:02+05:30,2025-11-03,c722d3c1-53df-4e6d-bc90-f14dbb97376b,IMPS,Refund
CREDIT,UPI,1200.0,3750.8,2025-10-15T17:33:32+05:30,2025-10-15,c75c6d29-5934-42c3-bbda-dfc773f0100a,UPI/PAYTMNA,Transfer In
DEBIT,UPI,200.0,3550.8,2025-07-09T13:28:53+05:30,2025-07-09,794a682b-5b7a-4444-bd6a-5a3db9f9f1a3,UPI/3609,Subscriptions
DEBIT,UPI,50.0,3500.8,2025-06-09T21:04:56+05:30,2025-06-09,7a6487f4-2008-4358-a761-2bd30994ae38,UPI/3609,Travel
DEBIT,UPI,3500.0,0.8,2025-01-23T16:20:50+05:30,2025-01-23,7a9c2faa-5032-42bb-9987-38cf36e1335b,UPI/32445,Entertainment
CREDIT,UPI,34.0,34.8,2025-03-08T14:19:06+05:30,2025-03-08,5ccc1be2-fbfb-4f60-9a87-17ee0b25c621,UPI/3612,Refund
CREDIT,UPI,460.0,494.8,2025-10-31T17:02:12+05:30,2025-10-31,8a98421e-6026-4147-a99b-1335649ebb75,UPI/32479,Bonus
DEBIT,UPI,200.0,294.8,2025-06-27T20:11:22+05:30,2025-06-27,b0bfec92-0fee-4c83-aa63-ec56255fa8ca,UPI/3613,Shopping
CREDIT,OTHERS,850.0,1144.8,2025-05-02T12:45:35+05:30,2025-05-02,7aab002f-a9d3-4600-840b-78a381e69fdd,IMPS,Salary
CREDIT,UPI,200.0,1344.8,2025-09-01T09:41:51+05:30,2025-09-01,e6e88a6e-1bbf-4d10-8efc-7c38d81db891,UPI/3248,Refund
CREDIT,OTHERS,1100.0,2444.8,2025-04-14T14:42:57+05:30,2025-04-14,8efc053e-df71-45cc-a9ce-0cea8d9d166e,IMPS,Cashback
DEBIT,UPI,10.0,2434.8,2025-10-16T13:19:02+05:30,2025-10-16,26212eac-72f0-4da8-943d-9e94599b1168,UPI/PAYTMPa,Groceries
DEBIT,UPI,15.0,2419.8,2025-07-23T08:29:56+05:30,2025-07-23,43423182-430e-4210-bf86-1093bde2c9a4,UPI/JIOINAPPDIRECT/,Entertainment
DEBIT,UPI,220.0,2199.8,2025-02-21T18:08:54+05:30,2025-02-21,e12cba6a-8238-4de8-af95-0afacd47ef30,UPI/BHARATPE,Subscriptions
DEBIT,UPI,500.0,1699.8,2025-04-08T17:23:59+05:30,2025-04-08,2d629427-5abd-4cfa-9729-ec2f575c9c3f,UPI/BHARATPE,Groceries
CREDIT,OTHERS,850.0,2549.8,2025-08-21T17:33:22+05:30,2025-08-21,976f05f5-b0b1-4525-a5bd-c57fd63b6302,IMPS,Transfer In
