type,mode,amount,currentBalance,transactionTimestamp,valueDate,txnId,narration,reference
DEBIT,CARD,100.0,2180.8,2025-10-22T23:14:11+05:30,2025-10-22,6e80ee9f-49b5-434f-8ab6-f192a2296e6c,GAS FILLING STATION,
DEBIT,CARD,170.0,2010.8,2025-06-21T12:12:31+05:30,2025-06-21,a734aa85-4bf8-44c0-b508-305f554dc51e,GAS FILLING STATION,
DEBIT,CARD,500.0,1510.8,2025-01-15T01:57:32+05:30,2025-01-15,dc44e071-399f-4ec2-b6ec-64f9e8a05a8a,GAS FILLING STATION,
CREDIT,OTHERS,15.0,1525.8,2025-12-10T21:32:00+05:30,2025-12-10,0adc1ed0-4809-462d-855c-84cda5593c80,5188810,
DEBIT,ATM,1000.0,525.8,2025-12-05T17:19:20+05:30,2025-12-05,1a018d91-db8a-416d-b49f-d03a84bc5c7b,ATM,
DEBIT,UPI,1.0,524.8,2025-07-02T00:56:24+05:30,2025-07-02,33bd1687-6ab2-43c5-be5f-d150f412834c,UPI/3234,
CREDIT,UPI,3000.0,3524.8,2025-06-24T08:30:29+05:30,2025-06-24,b87c4941-ad5b-41b7-9cda-4956a05a042e,UPI/3234,
CREDIT,UPI,300.0,3824.8,2025-04-09T19:55:48+05:30,2025-04-09,8bba53c3-7a35-40d6-a38c-fc142c432455,UPI/32345,
DEBIT,UPI,1200.0,2624.8,2025-01-28T19:26:31+05:30,2025-01-28,fd9c35d1-b32c-40f2-9e3e-0ddfe1d24cad,UPI/3235,
CREDIT,UPI,400.0,3024.8,2025-01-06T04:49:13+05:30,2025-01-06,d2407a2c-15f3-46c2-b658-f9b66de3b6fd,UPI/ent,
CREDIT,UPI,500.0,3524.8,2025-11-06T19:22:37+05:30,2025-11-06,b347d492-3798-4af9-b684-b136ecc2163e,UPI/3236,
CREDIT,UPI,300.0,3824.8,2025-05-01T08:36:14+05:30,2025-05-01,2502b83f-52a0-459a-acc2-058856a6025f,UPI/3236,
DEBIT,UPI,140.0,3684.8,2025-02-23T15:20:53+05:30,2025-02-23,ef7cdb44-66aa-4523-bafb-bc36528ffb08,UPI/3236,
CREDIT,UPI,400.0,4084.8,2025-03-14T11:16:02+05:30,2025-03-14,cb0dda74-4491-4005-9038-5d4d2d3d8f69,UPI/3236,
CREDIT,UPI,750.0,4834.8,2025-03-09T18:29:12+05:30,2025-03-09,504ea1a4-880a-4336-be91-722f93d03d76,UPI/3236,
DEBIT,UPI,80.0,4754.8,2025-07-03T15:58:10+05:30,2025-07-03,72b8aab6-5ec1-4204-9c6c-703251f82cae,UPI/BHARATPE6,
DEBIT,UPI,30.0,4724.8,2025-05-16T09:42:52+05:30,2025-05-16,ecc76954-7c8f-4fc0-9e51-6fa35a1b4cac,UPI/3236,
DEBIT,UPI,2480.0,2244.8,2025-01-18T03:42:24+05:30,2025-01-18,d26c20ba-4ed1-4ea0-81b0-d864d6905ce6,UPI/3237,
DEBIT,UPI,1450.0,794.8,2025-03-28T06:18:46+05:30,2025-03-28,4d14d160-484b-4f1d-822a-106f7e4d6cd0,UPI/32372,
DEBIT,UPI,120.0,674.8,2025-08-17T11:59:15+05:30,2025-08-17,2395c8a5-2d7b-45ff-8279-07160dc2b24f,UPI/BHARATPE,
CREDIT,UPI,480.0,1154.8,2025-05-10T16:14:53+05:30,2025-05-10,60867cfd-705b-44ba-9183-9fd57069d79b,UPI/36035,
CREDIT,OTHERS,1.0,1155.8,2025-05-06T00:42:53+05:30,2025-05-06,9760f363-bad8-44f4-99cb-8d9c97dccc4c,IMPS,
DEBIT,UPI,1.0,1154.8,2025-04-01T05:03:41+05:30,2025-04-01,b128ae36-e103-40fb-b402-dda22c0540a0,UPI/PAYTM,
DEBIT,UPI,1.0,1153.8,2025-03-19T12:14:47+05:30,2025-03-19,b224b31a-93e8-4726-9853-e355c677a612,UPI/32375,
CREDIT,UPI,21.0,1174.8,2025-11-02T20:30:37+05:30,2025-11-02,24f677df-0d22-4ee9-a72e-228f9898062b,UPI/32378/goog-payment,
CREDIT,OTHERS,1.0,1175.8,2025-04-22T07:08:32+05:30,2025-04-22,a25eeba0-6e08-45cb-9eb3-5583b6f9ec58,NEFT,9200200.0
DEBIT,UPI,1000.0,175.8,2025-05-03T20:08:34+05:30,2025-05-03,71bdd916-a4ad-4d30-9a0f-796611e2724f,UPI/3237,
DEBIT,UPI,30.0,145.8,2025-07-07T11:19:43+05:30,2025-07-07,f36f9696-82f7-47b1-9290-75cd13d701ac,UPI/3603,
CREDIT,OTHERS,51.0,196.8,2025-05-12T12:55:34+05:30,2025-05-12,c2ca6026-dd22-490f-8e8e-6bb1d033ec58,IMPS,
DEBIT,UPI,1.0,195.8,2025-10-14T13:56:09+05:30,2025-10-14,dec347ca-1df8-4834-bf12-a7ec81d4faeb,UPI/BHARATPE,
CREDIT,UPI,500.0,695.8,2025-01-09T23:39:16+05:30,2025-01-09,676db4e7-86c0-42e5-87f7-991d729ebd66,UPI/3238,
CREDIT,UPI,500.0,1195.8,2025-07-22T03:48:09+05:30,2025-07-22,ce354233-4a2f-499b-86f4-cc9ad4c0ccb7,UPI/32382,
CREDIT,UPI,700.0,1895.8,2025-08-16T18:38:39+05:30,2025-08-16,e47c0f6b-669c-4846-a4e1-a9c1abb74a49,UPI/32384,
DEBIT,UPI,60.0,1835.8,2025-10-21T09:42:35+05:30,2025-10-21,9da292b1-e6ff-4aec-ba17-1e9596be288d,UPI/BHARATPE,
DEBIT,UPI,20.0,1815.8,2025-04-10T17:52:35+05:30,2025-04-10,622a4877-d66b-4659-95f2-c834bc437044,UPI/BHARATPE,
DEBIT,UPI,1.0,1814.8,2025-08-07T22:55:27+05:30,2025-08-07,7c0b0fd3-5719-4c8f-be35-9a1eb624c282,UPI/32394,
DEBIT,UPI,1499.0,315.8,2025-03-02T09:03:32+05:30,2025-03-02,016a5f57-2be1-4c57-a806-9076e198a71f,UPI/3239,
CREDIT,UPI,240.0,555.8,2025-08-23T17:19:37+05:30,2025-08-23,345f0d46-25ad-497a-85d7-9047543df60e,UPI/32390/,
CREDIT,OTHERS,850.0,1405.8,2025-10-25T10:05:43+05:30,2025-10-25,e1f0ba13-39fa-4fa9-bcb1-47aab5a5e746,IMPS,
DEBIT,UPI,10.0,1395.8,2025-03-26T07:20:40+05:30,2025-03-26,6de89130-04ff-44c2-8801-88fca93609a9,AMZN,
DEBIT,UPI,1200.0,195.8,2025-06-29T00:18:44+05:30,2025-06-29,febe3439-44d2-4ab8-a972-cdb1f72e43aa,UPI/3241,
CREDIT,OTHERS,600.0,795.8,2025-09-11T23:11:55+05:30,2025-09-11,d2987357-92f2-4c9e-99a6-7692e931be22,IMPS,
DEBIT,UPI,100.0,695.8,2025-02-12T02:25:33+05:30,2025-02-12,c2aa2280-77b1-4f14-a157-de477ec6b924,UPI/3241,
DEBIT,UPI,15.0,680.8,2025-06-01T06:32:58+05:30,2025-06-01,ad797524-235c-4edb-b939-47647c17558c,UPI/JIOINAPPDIRECT/,
CREDIT,OTHERS,600.0,1280.8,2025-01-08T00:50:06+05:30,2025-01-08,0494c9e3-ee71-4d31-b923-e723a1df44c3,IMPS,
CREDIT,OTHERS,170.0,1450.8,2025-02-17T10:40:11+05:30,2025-02-17,3fd5bdaf-a0ec-4108-8f31-b39d54ba740d,IMPS,
CREDIT,OTHERS,350.0,1800.8,2025-01-05T01:03:50+05:30,2025-01-05,6ad58ee6-705a-4a71-8e43-c7ed1e88088f,NEFT,922020.0
CREDIT,OTHERS,750.0,2550.8,2025-12-17T07:26:48+05:30,2025-12-17,c722d3c1-53df-4e6d-bc90-f14dbb97376b,IMPS,
CREDIT,UPI,1200.0,3750.8,2025-01-20T11:23:14+05:30,2025-01-20,c75c6d29-5934-42c3-bbda-dfc773f0100a,UPI/PAYTMNA,
DEBIT,UPI,200.0,3550.8,2025-03-23T08:22:57+05:30,2025-03-23,794a682b-5b7a-4444-bd6a-5a3db9f9f1a3,UPI/3609,
DEBIT,UPI,50.0,3500.8,2025-08-23T21:57:29+05:30,2025-08-23,7a6487f4-2008-4358-a761-2bd30994ae38,UPI/3609,
DEBIT,UPI,3500.0,0.8,2025-10-07T23:34:29+05:30,2025-10-07,7a9c2faa-5032-42bb-9987-38cf36e1335b,UPI/32445,
CREDIT,UPI,34.0,34.8,2025-02-04T09:55:16+05:30,2025-02-04,5ccc1be2-fbfb-4f60-9a87-17ee0b25c621,UPI/3612,
CREDIT,UPI,460.0,494.8,2025-08-13T23:19:10+05:30,2025-08-13,8a98421e-6026-4147-a99b-1335649ebb75,UPI/32479,
DEBIT,UPI,200.0,294.8,2025-01-18T14:56:40+05:30,2025-01-18,b0bfec92-0fee-4c83-aa63-ec56255fa8ca,UPI/3613,
CREDIT,OTHERS,850.0,1144.8,2025-08-06T06:53:27+05:30,2025-08-06,7aab002f-a9d3-4600-840b-78a381e69fdd,IMPS,
CREDIT,UPI,200.0,1344.8,2025-08-23T19:21:51+05:30,2025-08-23,e6e88a6e-1bbf-4d10-8efc-7c38d81db891,UPI/3248,
CREDIT,OTHERS,1100.0,2444.8,2025-06-29T13:50:23+05:30,2025-06-29,8efc053e-df71-45cc-a9ce-0cea8d9d166e,IMPS,
DEBIT,UPI,10.0,2434.8,2025-06-22T10:27:01+05:30,2025-06-22,26212eac-72f0-4da8-943d-9e94599b1168,UPI/PAYTMPa,
