name,amount,category,date
Bus fare,305,Travel,2025-01-04
Accessories,100,Shopping,2025-01-07
Electricity bill,107,Bills,2025-01-04
Internet bill,122,Bills,2025-01-14
Clothes,254,Shopping,2025-01-09
Gift,402,Others,2025-01-13
House rent,9591,Rent,2025-01-17
House rent,10267,Rent,2025-01-17
Gift,345,Others,2025-01-15
Online order,96,Shopping,2025-01-22
Gift,406,Others,2025-02-01
Mobile recharge,282,Bills,2025-02-04
Subscription,399,Others,2025-02-04
Bus fare,429,Travel,2025-02-08
Clothes,392,Shopping,2025-02-10
House rent,10960,Rent,2025-02-05
Train ticket,114,Travel,2025-02-16
House rent,8045,Rent,2025-02-19
Train ticket,69,Travel,2025-03-03
Accessories,62,Shopping,2025-03-11
Train ticket,280,Travel,2025-03-18
Groceries,309,Food,2025-03-16
Online order,407,Shopping,2025-03-17
Internet bill,261,Bills,2025-03-19
Electricity bill,259,Bills,2025-03-26
Gift,350,Others,2025-04-08
Online order,374,Shopping,2025-04-13
Snacks,287,Food,2025-04-10
Medical,76,Others,2025-04-10
Accessories,255,Shopping,2025-04-18
House rent,8117,Rent,2025-04-16
Gift,350,Others,2025-04-21
Cab ride,472,Travel,2025-04-29
House rent,11364,Rent,2025-04-30
Electricity bill,115,Bills,2025-05-05
Accessories,358,Shopping,2025-05-01
Bus fare,156,Travel,2025-05-08
Lunch,334,Food,2025-05-11
Cab ride,416,Travel,2025-05-07
Electricity bill,418,Bills,2025-05-18
Fuel,191,Travel,2025-05-21
Clothes,104,Shopping,2025-05-21
Cafe,381,Food,2025-06-02
Online order,260,Shopping,2025-05-29
Fuel,282,Travel,2025-06-07
Train ticket,122,Travel,2025-06-15
Cab ride,500,Travel,2025-06-15
House rent,11291,Rent,2025-06-20
Online order,101,Shopping,2025-06-18
House rent,11206,Rent,2025-06-25
Gift,256,Others,2025-06-26
Internet bill,417,Bills,2025-07-05
Online order,262,Shopping,2025-07-04
Mobile recharge,255,Bills,2025-07-03
Mobile recharge,306,Bills,2025-07-13
Snacks,78,Food,2025-07-22
Bus fare,490,Travel,2025-07-19
House rent,11221,Rent,2025-07-26
Gift,265,Others,2025-07-23
Mobile recharge,375,Bills,2025-08-05
Online order,379,Shopping,2025-08-07
Electricity bill,400,Bills,2025-08-09
Internet bill,215,Bills,2025-08-10
Accessories,341,Shopping,2025-08-13
Online order,335,Shopping,2025-08-19
Medical,178,Others,2025-08-17
Subscription,279,Others,2025-08-26
Groceries,52,Food,2025-08-20
Cab ride,169,Travel,2025-09-01
Internet bill,79,Bills,2025-09-03
Snacks,443,Food,2025-09-09
Clothes,317,Shopping,2025-09-16
Dinner,140,Food,2025-09-11
Clothes,182,Shopping,2025-09-14
Train ticket,223,Travel,2025-09-18
Accessories,235,Shopping,2025-09-21
House rent,11107,Rent,2025-09-18
Internet bill,292,Bills,2025-09-29
House rent,8958,Rent,2025-09-29
Gift,224,Others,2025-09-29
Cab ride,456,Travel,2025-10-03
Cafe,493,Food,2025-10-11
Electricity bill,190,Bills,2025-10-13
Clothes,223,Shopping,2025-10-12
Snacks,471,Food,2025-10-15
Fuel,107,Travel,2025-10-20
Snacks,92,Food,2025-10-17
Dinner,61,Food,2025-10-25
Train ticket,418,Travel,2025-10-27
House rent,11208,Rent,2025-10-22
Online order,388,Shopping,2025-11-03
Dinner,81,Food,2025-10-31
House rent,9453,Rent,2025-11-10
Online order,338,Shopping,2025-11-13
Snacks,346,Food,2025-11-19
Subscription,399,Others,2025-11-22
Clothes,99,Shopping,2025-11-23
Internet bill,213,Bills,2025-11-28
Online order,230,Shopping,2025-11-30
Accessories,333,Shopping,2025-12-08
Groceries,182,Food,2025-12-06
Groceries,96,Food,2025-12-03
Dinner,454,Food,2025-12-10
Electricity bill,339,Bills,2025-12-16
Groceries,383,Food,2025-12-12
