transaction_id,transactionTimestamp,transactionDate,type,category,amount,description,payment_mode
TXN012261,2024-01-01T02:15:39,2024-01-01,DEBIT,Health,2777,Health transaction,Card
TXN019524,2024-01-01T02:25:09,2024-01-01,CREDIT,Salary,35023,Salary transaction,Card
TXN018353,2024-01-01T03:38:12,2024-01-01,DEBIT,Travel,2411,Travel transaction,NetBanking
TXN009412,2024-01-01T04:06:56,2024-01-01,DEBIT,Shopping,4782,Shopping transaction,Cash
TXN006982,2024-01-01T05:05:31,2024-01-01,DEBIT,Education,1612,Education transaction,UPI
TXN007353,2024-01-01T06:36:05,2024-01-01,DEBIT,Travel,1512,Travel transaction,Cash
TXN007228,2024-01-01T08:54:32,2024-01-01,CREDIT,Transfer,5370,Transfer transaction,Cash
TXN019255,2024-01-01T08:56:27,2024-01-01,CREDIT,Salary,32318,Salary transaction,Cash
TXN015069,2024-01-01T10:14:17,2024-01-01,CREDIT,Income,1075,Income transaction,NetBanking
TXN005956,2024-01-01T10:54:36,2024-01-01,DEBIT,Health,2049,Health transaction,UPI
TXN014007,2024-01-01T11:45:24,2024-01-01,CREDIT,Transfer,13913,Transfer transaction,Card
TXN011933,2024-01-01T11:57:53,2024-01-01,CREDIT,Salary,31018,Salary transaction,NetBanking
TXN008492,2024-01-01T12:05:39,2024-01-01,CREDIT,Salary,25003,Salary transaction,Cash
TXN014210,2024-01-01T12:31:45,2024-01-01,DEBIT,Bills,891,Bills transaction,UPI
TXN008861,2024-01-01T13:01:27,2024-01-01,CREDIT,Salary,52281,Salary transaction,NetBanking
TXN019282,2024-01-01T13:32:20,2024-01-01,CREDIT,Salary,38262,Salary transaction,NetBanking
TXN018027,2024-01-01T14:41:55,2024-01-01,DEBIT,Transfer,8995,Transfer transaction,NetBanking
TXN017643,2024-01-01T14:44:11,2024-01-01,DEBIT,Transfer,5379,Transfer transaction,NetBanking
TXN017123,2024-01-01T15:00:15,2024-01-01,DEBIT,Rent,8653,Rent transaction,UPI
TXN007759,2024-01-01T15:08:36,2024-01-01,DEBIT,Bills,263,Bills transaction,UPI
TXN015686,2024-01-01T15:38:27,2024-01-01,DEBIT,Rent,11914,Rent transaction,Card
TXN019060,2024-01-01T16:14:19,2024-01-01,DEBIT,Food,315,Food transaction,Cash
TXN008318,2024-01-01T17:06:03,2024-01-01,DEBIT,Education,4260,Education transaction,Card
TXN019208,2024-01-01T17:44:13,2024-01-01,DEBIT,Education,4159,Education transaction,Cash
TXN002642,2024-01-01T18:22:07,2024-01-01,CREDIT,Transfer,6671,Transfer transaction,UPI
TXN015852,2024-01-01T20:03:57,2024-01-01,CREDIT,Salary,37436,Salary transaction,Card
TXN018151,2024-01-01T20:54:21,2024-01-01,DEBIT,Health,1284,Health transaction,Card
TXN018051,2024-01-01T22:19:58,2024-01-01,DEBIT,Travel,2243,Travel transaction,NetBanking
TXN002192,2024-01-01T23:58:45,2024-01-01,DEBIT,Rent,11773,Rent transaction,Cash
TXN014590,2024-01-02T01:31:31,2024-01-02,DEBIT,Food,295,Food transaction,NetBanking
TXN005477,2024-01-02T01:42:24,2024-01-02,CREDIT,Salary,40138,Salary transaction,Cash
TXN003443,2024-01-02T01:57:54,2024-01-02,CREDIT,Income,3662,Income transaction,Cash
TXN005454,2024-01-02T02:01:01,2024-01-02,DEBIT,Entertainment,699,Entertainment transaction,Card
TXN009165,2024-01-02T04:04:27,2024-01-02,DEBIT,Food,87,Food transaction,Card
TXN016068,2024-01-02T04:35:50,2024-01-02,CREDIT,Salary,31997,Salary transaction,UPI
TXN013514,2024-01-02T05:51:19,2024-01-02,DEBIT,Transfer,5986,Transfer transaction,NetBanking
TXN011536,2024-01-02T06:03:56,2024-01-02,CREDIT,Income,3394,Income transaction,Cash
TXN013646,2024-01-02T06:59:23,2024-01-02,CREDIT,Salary,35582,Salary transaction,NetBanking
TXN003166,2024-01-02T07:48:50,2024-01-02,DEBIT,Travel,2783,Travel transaction,Card
TXN001755,2024-01-02T08:10:01,2024-01-02,DEBIT,Health,880,Health transaction,UPI
TXN008880,2024-01-02T08:32:09,2024-01-02,DEBIT,Travel,2667,Travel transaction,UPI
TXN015078,2024-01-02T10:38:18,2024-01-02,DEBIT,Shopping,4033,Shopping transaction,Cash
TXN004215,2024-01-02T12:32:09,2024-01-02,DEBIT,Entertainment,1242,Entertainment transaction,Card
TXN011248,2024-01-02T13:46:59,2024-01-02,CREDIT,Income,3358,Income transaction,NetBanking
TXN006254,2024-01-02T14:38:38,2024-01-02,CREDIT,Salary,31277,Salary transaction,UPI
TXN003335,2024-01-02T16:16:31,2024-01-02,DEBIT,Shopping,2611,Shopping transaction,Card
TXN001923,2024-01-02T17:46:43,2024-01-02,DEBIT,Education,5277,Education transaction,Cash
TXN015112,2024-01-02T17:48:14,2024-01-02,DEBIT,Health,3348,Health transaction,Card
TXN012890,2024-01-02T18:23:26,2024-01-02,CREDIT,Transfer,8682,Transfer transaction,NetBanking
TXN015402,2024-01-02T19:23:01,2024-01-02,DEBIT,Rent,11204,Rent transaction,UPI
TXN003632,2024-01-02T19:38:43,2024-01-02,DEBIT,Shopping,1899,Shopping transaction,Cash
TXN017763,2024-01-02T19:49:36,2024-01-02,DEBIT,Health,1214,Health transaction,UPI
TXN007258,2024-01-02T20:04:20,2024-01-02,DEBIT,Food,201,Food transaction,Cash
TXN017937,2024-01-02T20:28:45,2024-01-02,DEBIT,Rent,8492,Rent transaction,Card
TXN012903,2024-01-02T21:21:04,2024-01-02,DEBIT,Transfer,7388,Transfer transaction,Cash
TXN017020,2024-01-02T22:00:18,2024-01-02,DEBIT,Shopping,1702,Shopping transaction,NetBanking
TXN000280,2024-01-02T22:23:04,2024-01-02,DEBIT,Bills,1958,Bills transaction,Card
TXN005372,2024-01-02T23:14:25,2024-01-02,DEBIT,Education,1782,Education transaction,UPI
TXN000547,2024-01-02T23:55:54,2024-01-02,DEBIT,Food,221,Food transaction,NetBanking
TXN013189,2024-01-03T00:50:12,2024-01-03,DEBIT,Entertainment,423,Entertainment transaction,UPI
TXN003871,2024-01-03T00:50:33,2024-01-03,CREDIT,Salary,51620,Salary transaction,UPI
TXN010224,2024-01-03T00:58:05,2024-01-03,CREDIT,Transfer,7443,Transfer transaction,NetBanking
TXN008607,2024-01-03T04:47:29,2024-01-03,DEBIT,Travel,1204,Travel transaction,Card
TXN009389,2024-01-03T05:37:39,2024-01-03,DEBIT,Shopping,1558,Shopping transaction,UPI
TXN004447,2024-01-03T06:30:48,2024-01-03,CREDIT,Transfer,11096,Transfer transaction,Card
TXN001771,2024-01-03T07:24:04,2024-01-03,DEBIT,Shopping,3263,Shopping transaction,UPI
TXN016792,2024-01-03T08:24:59,2024-01-03,DEBIT,Health,509,Health transaction,UPI
TXN019742,2024-01-03T09:03:22,2024-01-03,DEBIT,Health,3377,Health transaction,Cash
TXN005621,2024-01-03T12:16:34,2024-01-03,DEBIT,Rent,8921,Rent transaction,Cash
TXN000702,2024-01-03T12:25:42,2024-01-03,CREDIT,Transfer,7766,Transfer transaction,Card
TXN019055,2024-01-03T12:28:44,2024-01-03,DEBIT,Health,2667,Health transaction,UPI
TXN004139,2024-01-03T13:23:36,2024-01-03,DEBIT,Education,2055,Education transaction,Card
TXN015592,2024-01-03T13:28:56,2024-01-03,CREDIT,Transfer,2573,Transfer transaction,Cash
TXN003049,2024-01-03T13:41:38,2024-01-03,DEBIT,Food,236,Food transaction,Cash
TXN016233,2024-01-03T14:14:16,2024-01-03,CREDIT,Transfer,8101,Transfer transaction,UPI
